Note,Description,Date,nombre_good_bad,nombre_follow,key
"5,0","Forrest Gump est une merveille du cinéma. Une oeuvre qu'il faut absolument avoir vu et qui a surement séduit le monde entier. Zemeckis nous transmet plusieurs messages dans sa production : de l'amour, de l'amitié, de l'émotion, de l'humour, de la tristesse... J'ai du le visionner une centaine de fois depuis mon enfance, et je me régale à chaque fois. Des répliques cultes, plaisantes à souhait. Tom Hanks est génial, rien à redire sur son personnage, tellement humain et très intelligent. L'oscar est largement mérité pour cet acteur incroyable. De plus, la bande son est excellente. Robert Zemeckis est un maître dans sa réalisation. Un grand chapeau à lui. On comprend très bien le succès de ce film magnifique. C'est moraliste, larmoyant, simpliste mais tellement bon. Forrest Gump restera graver dans nos mémoires cinéphiles pendant un très bon bout de temps. Un chef-d'oeuvre des années 90. Sacré Forrest !!",Publiée le 12 septembre 2014,"51
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            26",Suivre son activité,10
"5,0","Forets Gump est un gigantesque pamphlet contre la société néo-libérale et néo-conservatrice. Certains prennent une baffe en le voyant et préfèrent minimiser la claque en hurlant à la niaiserie. 
A travers le regard gentillet d'un type enfermé dans une bulle de simplicité, un monde ignoble et nullissime, dans lequel seules les grandes gueules et les loquedus protégés réussissent sans effort où les autres doivent bosser comme des déments pour réussir un minimum, est disséqué avec férocité dans un humour froid voir, glacial. 
La naïveté superficielle de l'histoire et la compétence des acteurs rend encore plus violente cette narration sans concession du consumérisme et de la bêtise triomphants face à l'humanisme et l'altruisme.",Publiée le 6 septembre 2013,"16
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            5",Suivre son activité,11
"5,0","L’histoire américaine du vingtième siècle traversée par un étonnant Tom Hanks, exceptionnel en simple d’esprit attachant qui, sans en prendre forcément conscience, croise les plus grandes personnalités des Etats-Unis et interfère plus ou moins sur l’Histoire de son pays. Doté d’une BO exceptionnelle, ce blockbuster intelligent a été unanimement salué par la critique et récompensé par 6 Oscar.",Publiée le 9 avril 2012,"8
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            1",Suivre son activité,12
"5,0","Ce film est pour moi une référence. Robert Zemeckis prouve encore une fois qu'il fait partie des plus grands et Tom Hanks montre toute l'étendue de son talent. Ce chef-d'oeuvre est à la fois une merveille de maîtrise mais aussi complet : il est drôle, triste, émouvant, juste, rare et, donc parfait !",Publiée le 10 septembre 2015,"8
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            0",Suivre son activité,0
"5,0","Tellement merveilleux ce film , j'comprends pas les personnes qui arrivent à dire qu'il est nul , c'est une blague rassurez moi ?",Publiée le 26 juillet 2013,"9
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            2",Suivre son activité,1
"4,5","4 mots suffiront pour résumer cet incroyable voyage dans le temps : simple, drôle, émouvant, culte. ""Mama always said life was like a box of chocolates, you never know what you're gonna get""",Publiée le 9 août 2013,"10
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            2",Suivre son activité,2
"5,0","Un Grand Classique. Aprés la Trilogie incontournable de Retour Vers Le Futur,Le Réalisateur Robert Zemeckis nous revient en force avec ce Long Métrage Puissant qui a bouleverser a tout jamais le monde entier. Pour Commencer la Mise en Scéne est Prodigieuse avec une reconstitution sidérant des Différentes Périodes que se déroulent le film avec une magnifique BO de Alan Silvestri qui merveilleusement le long métrage. Ensuite le Scénario est Passionnant du début jusqu'a la fin en suivant l'incroyable histoire d'un Handicapé qui s'est retrouvé embarquer malgré lui a travers différents événements historiques dont le Rythme ne faiblit a aucun moment au cours des 2h20 que dure le film,ajouter a cela une multitude de Scenes Phares qui ont marqué les esprits qui arrive a combiner Humour et Émotion avec maestria tout en regorgeant de Répliques Mythiques. Enfin le Casting est Parfait avec notamment l'excellent Tom Hanks qui livre une de ces meilleurs performances d'acteurs dans le rôle emblématique de Forrest Gump un Simple D'Esprit attachant et émouvant dont on parvient sans hésiter a éprouver énormément de sympathie au personnage qui est par ailleurs seconder par une galerie de Personnages hauts en couleurs qui entoure notre héros tels que l'actrice Robin Wright,Gary Sinise,Sally Field et Mykelti Williamson qui livrent a eux tous une prestation de qualité. En Conclusion,Forrest Gump est une formidable Comédie Dramatique en étant a la fois Poétique,Bouleversant,Drole et Brillant qui a le mérite d'entrer au rang des plus grands films des années 90 et qui s’avère par la même occasion comme l'un des longs métrages les plus aboutis du cinéaste de génie qu'est Robert Zemeckis",Publiée le 2 octobre 2015,"7
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            0",Suivre son activité,3
"4,0","Film oscarisé à 6 reprises en 1995, Forrest Gump raconte l'histoire des Etats-Unis pendant la seconde moitié du XXème siècle à travers l'histoire peu banale du personnage éponyme campé par un très bon Tom Hanks. Bien qu'étant un peu lourd par moments, ce film reste néanmoins sympathique du fait de la présence de personnages secondaires singuliers en particulier le lieutenant Dan Taylor interprété par Gary Sinise.
Simplet mais rafraichissant...",Publiée le 13 décembre 2014,"7
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            2",Suivre son activité,4
"4,0","Alliant humour et émotion, ""Forrest Gump"" est un très beau film, au scénario original et astucieux, qui nous fait traverser plusieurs décennies de l'histoire américaine. Tom Hanks joue admirablement.",Publiée le 11 août 2012,"7
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            2",Suivre son activité,5
"4,5","Une histoire à la fois drôle et touchante. Forrest Gump nous permet de traverser l'histoire des États Unis dans la seconde moitié de XXème siècle. Il nous fait découvrir une Amérique idéalisée. Il aura tout vu de son époque, tout vécu, tout traversé de la peur aux sanglots et passant par la joie. Forestier Gump est interprété à merveille par Tom Hanks. 
4,5/5",Publiée le 30 avril 2016,"6
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            0",Suivre son activité,6
